Long,Lat,shop,name
-71.0652682,42.3263393,supermarket,Stop & Shop
-71.4867447,42.4345597,supermarket,Shaw's
-71.7511892,42.2755993,supermarket,Trader Joe's
-71.4489881,42.4751072,supermarket,Roche Brothers
-71.144666,42.6609459,supermarket,Whole Foods Market
-71.118286,42.38975,supermarket,Star Market
-71.1490818,42.3753822,supermarket,Star Market
-71.1403831,42.3427991,supermarket,Whole Foods Market
-71.2087174,42.4707418,supermarket,Market Basket
-72.7882665,42.0250613,supermarket,Big Y
-71.534529,42.3532252,supermarket,Price Chopper
-71.1417515,42.3891156,supermarket,Whole Foods Market
-72.7266883,42.1128101,supermarket,Price Rite
-72.7228637,42.1118261,supermarket,Big Y
-71.7983066,42.21354,supermarket,Price Chopper
-71.1433772,42.3899301,supermarket,Trader Joe's
-71.2063778,42.330033,supermarket,Whole Foods Market
-71.3954556,42.4573395,supermarket,Debra's Natural Gourmet
-72.5555325,42.3531072,supermarket,Whole Foods Market
-71.2624727,42.4841765,supermarket,Stop and Shop
-71.4144956,42.4824956,supermarket,Trader Joe's
-71.1401723,42.3564243,supermarket,Stop & Shop
-71.137488,42.3612874,supermarket,Osco Pharmacy
-71.137791,42.3613615,supermarket,Bruegger's Bagels
-71.7717774,42.2945186,supermarket,Stop & Shop
-72.6038739,42.5878999,supermarket,Green Fields Market
-71.7525066,42.2719375,supermarket,Shaw's
-71.0625084,42.4646585,supermarket,Whole Foods Market
-71.2021355,42.5908035,supermarket,Market Basket
-71.8260439,42.2593458,supermarket,Big Y
-71.8299009,42.2430024,supermarket,Price Chopper
-71.8201643,42.2610333,supermarket,Living Earth
-71.8259658,42.2483951,supermarket,Santiago's Market
-71.8319715,42.2470926,supermarket,SAVERS
-71.0049066,42.2448011,supermarket,Star Market / Shaw's
-71.8158857,42.2633068,supermarket,Ed Hyder's Mediterranean Marketplace
-71.1030191,42.375891,supermarket,Whole Foods Market
-71.0796721,42.3474434,supermarket,Star Market
-71.0841008,42.3484447,supermarket,Trader Joe's
-71.4286439,42.4423588,supermarket,Stop & Shop
-71.2617557,42.5552193,supermarket,Market Basket
-71.4329773,42.2413407,supermarket,Shaws
-71.6830457,42.4143001,supermarket,Apple Country Market
-73.196803,42.429961,supermarket,Berkshire Organics
-73.2650971,42.4097854,supermarket,Stop & Shop
-71.4080912,42.2775548,supermarket,A&J Seabra Supermarket
-71.0861825,42.4083265,supermarket,Stop & Shop
-71.2213308,42.3691068,supermarket,Shaw's
-71.1219208,42.3951356,supermarket,bfresh market
-71.2449248,42.3470484,supermarket,Star Market
-72.8720221,42.2422933,supermarket,Moltenbrey's Market
-71.4279193,42.2571074,supermarket,Market Basket
-71.8515631,42.114007,supermarket,Market Basket
-72.0089337,42.0694221,supermarket,Big Y
-71.0371542,42.7636918,supermarket,Market Basket
-71.0799418,42.4213287,supermarket,Atlas Market
-71.1373481,42.4559775,supermarket,Stop & Shop
-72.6716922,42.2702071,supermarket,Big E's Supermarket
-71.1681353,42.2587224,supermarket,Stop & Shop
-70.9950337,42.2527194,supermarket,Stop & Shop
-72.6332066,42.1836642,supermarket,Super Stop & Shop
-71.3302367,42.6115485,supermarket,Stop & Shop
-70.0188488,41.7070588,supermarket,Stop & Shop
-71.136176,42.6845968,supermarket,Market Basket
-71.0829423,42.3954311,supermarket,Trader Joe's
-71.1156835,42.3522328,supermarket,Buick Street Market 
-71.1139433,42.7743835,supermarket,Market Basket
-71.0584846,42.3516758,supermarket,Cmart Supermarket
-72.6342057,42.3200735,supermarket,Serio's Market
-72.6341003,42.3193625,supermarket,State Street Fruit Store
-71.2108734,42.4734776,supermarket,Trader Joe's
-71.1139621,42.3123528,supermarket,City Feed and Supply
-71.1937556,42.3638119,supermarket,Stop & Shop
-71.4175533,42.4939785,supermarket,Donelan's
-70.9042957,42.8202373,supermarket,Shaw's
-71.0321306,42.5144378,supermarket,Whole Foods Market
-72.4900266,42.1556937,supermarket,Save A lot shopping market
-71.1664175,41.699512,supermarket,Chaves Market
-72.5807689,42.2359399,supermarket,Big Y
-71.2341417,42.4124352,supermarket,Shaw's
-71.0740114,42.421538,supermarket,Super 88 香港超市
-71.083666,42.4069525,supermarket,ALDI
-70.8235124,42.1172707,supermarket,Shaws
-71.4252604,42.2991671,supermarket,Trader Joe's
-71.0653418,42.3620025,supermarket,Whole Foods Market
-71.2720725,42.6315588,supermarket,Market Basket
-70.9534482,42.17181,supermarket,Whole Foods Market
-71.1162975,42.0243529,supermarket,Shaw's Supermarket
-71.4740043,42.5463018,supermarket,New Oriental Supermarket
-71.1276813,42.3455932,supermarket,The Butcherie
-71.4209794,42.2987226,supermarket,Whole Foods Market
-70.9106453,42.8476806,supermarket,Stop & Shop
-71.2887601,42.5801877,supermarket,Market Basket
-71.3771705,42.2812639,supermarket,Roche Brothers
-71.6601148,42.6486154,supermarket,Hannaford
-71.0366668,42.3354422,supermarket,Stop & Shop
-70.5865303,41.7155229,supermarket,Liquor 'n More
-71.062178,42.351145,supermarket,Jiaho supermarket
-70.4888372,41.6196212,supermarket,Stop & Shop
-70.9056507,42.7078461,supermarket,Market Basket
-71.1884932,42.4254014,supermarket,Trader Joe's
-71.8166548,42.2472573,supermarket,San Miguel Grocery
-71.1782252,42.2324694,supermarket,Whole Foods Market
-72.471201,42.1484625,supermarket,Big Y Wilbraham
-71.608548,42.269932,supermarket,Roche Brothers
-73.3648092,42.1794561,supermarket,Guido's Marketplace
-71.0662711,42.375626,supermarket,Whole Foods Market
-70.9324464,42.5508582,supermarket,Market Basket
-71.7535041,42.5212329,supermarket,Hannaford
-71.0628246,42.3454666,supermarket,Whole Foods Market
-70.2076541,41.6580864,supermarket,Stop & Shop
-71.0280739,42.4637144,supermarket,Super Stop and Shop
-71.4478724,42.2975594,supermarket,Stop & Shop
-70.1503451,41.6953414,supermarket,Super Stop & Shop
-70.0024038,41.7796684,supermarket,Shaw's
-69.9849949,41.7962559,supermarket,Stop & Shop
-70.9859979,41.6425867,supermarket,Super Stop & Shop
-71.6109615,42.2828514,supermarket,Super Stop & Shop
-71.3136004,42.3059013,supermarket,Fells Market
-71.160164,42.352908,supermarket,Faneuil Street Market
-70.8480791,41.9954585,supermarket,Stop & Shop
-71.4616014,42.1112511,supermarket,Whole Foods Market
-70.2728413,41.6584636,supermarket,gol supemarket
-70.4913917,41.6159557,supermarket,Organic Market Mashpee
-71.1653831,42.7163787,supermarket,Mello's Supermarket
-70.7351601,42.0117598,supermarket,Big Y
-71.0840252,41.9367331,supermarket,Market Basket
-70.5939173,41.5621483,supermarket,Shaw's
-71.6478357,42.1255516,supermarket,Shaw's Supermarket
-71.0655817,42.3441831,supermarket,Ming's Supermarket
-71.0649971,42.3462438,supermarket,C-Mart
-71.0669158,42.3649911,supermarket,J. Pace & Son
-71.5898366,42.3407724,supermarket,Hannaford
-71.17231,42.7020708,supermarket,Market Basket
-71.0550683,42.359706,supermarket,Pepper Palace
-72.6115859,42.5829069,supermarket,Barn Grocery
-71.0430754,42.4256225,supermarket,99 Asian Supermarket
-71.2926102,42.3012249,supermarket,Roche Bros.
-71.2356329,42.2865453,supermarket,Sudbury Farms
-71.0439904,42.0750299,supermarket,Price Rite
-71.59351,42.3936448,supermarket,Market Basket
-70.0924143,41.2719675,supermarket,Stop & Shop
-69.9643475,41.2619764,supermarket,Sconset Market
-71.8621097,42.343926,supermarket,Big Y
-71.0837988,42.373999,supermarket,Star Market
-71.5691398,42.3804607,supermarket,Shaw's
-70.9671659,42.4631304,supermarket,Market Basket
-71.0872674,42.3438923,supermarket,Whole Foods Market
-70.9864134,42.190567,supermarket,Stop & Shop
-72.0586268,42.1268129,supermarket,Stop & Shop
-72.0137975,42.2339796,supermarket,Big Y
-71.6880487,42.4246007,supermarket,Hannaford
-71.4319308,42.3002531,supermarket,Bazaar West
-71.0556331,42.1871606,supermarket,Hai Lua Supermarket
-71.130034,42.3634369,supermarket,Trader Joe's
-72.5271628,42.0774146,supermarket,Stop & Shop
-72.5283899,42.0799226,supermarket,Big Y
-72.6335981,42.0610852,supermarket,Geissler's Supermarket
-71.0458402,42.1638069,supermarket,Shaw's
-73.2149173,42.4645712,supermarket,Price Rite
-72.5032688,42.3731816,supermarket,Mom's House Chinese Food Market
-71.3317701,42.6139003,supermarket,Market Basket
-71.7465998,42.2754801,supermarket,Whole Foods Market
-71.1168893,42.5924292,supermarket,Super Stop & Shop
-70.9992916,42.3992185,supermarket,Stop & Shop
-71.2373342,42.3759678,supermarket,Brothers Marketplace
-70.6565067,42.6214126,supermarket,Market Basket
-70.9418231,42.4644634,supermarket,Ironbound Marketplace & Food Emporium
-71.0403834,42.3763656,supermarket,Shaw's
-70.8841468,42.1722209,supermarket,The Big Y
-73.3445905,42.2099604,supermarket,Price Chopper
-73.3657977,42.1806597,supermarket,Big Y
-71.9936765,42.2453405,supermarket,Price Chopper
-71.1799832,42.2182923,supermarket,Lambert's Rainbow Market
-71.3023998,42.6645768,supermarket,Market Basket
-71.1029711,42.5221762,supermarket,Professor's Market
-72.483595,42.1682287,supermarket,Big Y Ludlow
-71.1927278,42.177869,supermarket,Sabb's Market
-71.0003255,42.2011085,supermarket,Shaw's
-71.1135482,42.7155178,supermarket,Butcher Boy
-71.1264778,42.3937857,supermarket,Food Land
-71.1273246,42.242296,supermarket,Stop & Shop
-71.0985934,42.3733438,supermarket,Tropical Dimension Food Store
-70.6423211,42.6187263,supermarket,Stop & Shop
-71.1956451,42.1913391,supermarket,Shaw's
-71.4873684,42.1504256,supermarket,Stop & Shop
-71.0616706,42.3657266,supermarket,Star Market
-70.6398806,42.622868,supermarket,Shaw's
-70.9442911,42.4639756,supermarket,Poblano's Mexican Grocery
